# Two Dipoles. Collinear case. Opposite moments. $l=5$
# Commit: 2026-08-08-4-g5e9f416
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-08-14 01:33:43
time,d1_rx,d1_mx,d2_rx,d2_mx,sum_zeta_square,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z
71.999998,2.500000,455.422137,2.500000,-455.422137,414818.646212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.999998,2.500000,455.422212,2.500000,-455.422212,414818.782388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.999998,2.500000,455.422251,2.500000,-455.422251,414818.854121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.999998,2.500000,455.422272,2.500000,-455.422272,414818.891906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.999998,2.500000,455.422283,2.500000,-455.422283,414818.911810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.999998,2.500000,455.422289,2.500000,-455.422289,414818.922295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89.999998,2.500000,455.422291,2.500000,-455.422291,414818.925495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
