# Two Dipoles. Viscous opposite moments. $\\Reyn=0.5$, $x(0)=3$
# Commit: 2026-08-08-4-g5e9f416
# KinematicViscosity: 2
# TauMode: ConstPi32 τ = 1/π^(3/2)
# Date: 2026-08-14 01:33:44
time,d1_rx,d1_mx,d2_rx,d2_mx,sum_zeta_square,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z
12.100000,0.618886,0.491427,2.381114,-0.491427,0.483001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.200000,0.617809,0.485999,2.382191,-0.485999,0.472391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.300000,0.616721,0.480667,2.383279,-0.480667,0.462082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.400000,0.615624,0.475429,2.384376,-0.475429,0.452065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.500000,0.614518,0.470283,2.385482,-0.470283,0.442332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.600000,0.613404,0.465227,2.386596,-0.465227,0.432873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.700000,0.612283,0.460261,2.387717,-0.460261,0.423681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.800000,0.611156,0.455383,2.388844,-0.455383,0.414748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.900000,0.610024,0.450591,2.389976,-0.450591,0.406064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.000000,0.608887,0.445883,2.391113,-0.445883,0.397623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.100000,0.607747,0.441258,2.392253,-0.441258,0.389418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.200000,0.606602,0.436715,2.393398,-0.436715,0.381440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.300000,0.605456,0.432251,2.394544,-0.432251,0.373683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.400000,0.604307,0.427866,2.395693,-0.427866,0.366139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.500000,0.603156,0.423558,2.396844,-0.423558,0.358803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.600000,0.602004,0.419325,2.397996,-0.419325,0.351667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.700000,0.600852,0.415166,2.399148,-0.415166,0.344725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.800000,0.599699,0.411079,2.400301,-0.411079,0.337972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.900000,0.598546,0.407063,2.401454,-0.407063,0.331400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.000000,0.597395,0.403116,2.402605,-0.403116,0.325005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.100000,0.596244,0.399238,2.403756,-0.399238,0.318781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.200000,0.595094,0.395426,2.404906,-0.395426,0.312723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.300000,0.593946,0.391679,2.406054,-0.391679,0.306825,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.400000,0.592800,0.387996,2.407200,-0.387996,0.301082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.500000,0.591656,0.384376,2.408344,-0.384376,0.295490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.600000,0.590515,0.380817,2.409485,-0.380817,0.290044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.700000,0.589376,0.377318,2.410624,-0.377318,0.284738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.800000,0.588241,0.373878,2.411759,-0.373878,0.279570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.900000,0.587109,0.370496,2.412891,-0.370496,0.274534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.000000,0.585980,0.367169,2.414020,-0.367169,0.269627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.100000,0.584855,0.363898,2.415145,-0.363898,0.264844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.200000,0.583733,0.360681,2.416267,-0.360681,0.260181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.300000,0.582616,0.357516,2.417384,-0.357516,0.255636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.400000,0.581502,0.354404,2.418498,-0.354404,0.251204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.500000,0.580393,0.351342,2.419607,-0.351342,0.246882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.600000,0.579288,0.348329,2.420712,-0.348329,0.242667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.700000,0.578188,0.345365,2.421812,-0.345365,0.238555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
