# Two Dipoles from onedisk
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_rz,d1_mx,d1_my,d1_mz,d2_rx,d2_ry,d2_rz,d2_mx,d2_my,d2_mz,sum_zeta_square
35.499999,-0.101111,0.409097,0.270845,0.165197,1.032171,0.028181,-0.241441,0.431172,0.275246,-0.206197,-0.949171,0.036819,2.038260
35.999999,-0.103324,0.415437,0.274685,0.145236,1.035421,0.028816,-0.244117,0.434656,0.279096,-0.186236,-0.952421,0.036184,2.037118
36.499999,-0.105565,0.421781,0.278525,0.125219,1.038265,0.029452,-0.246763,0.438135,0.282945,-0.166219,-0.955265,0.035548,2.035966
36.999999,-0.107834,0.428129,0.282367,0.105155,1.040703,0.030088,-0.249380,0.441608,0.286793,-0.146155,-0.957703,0.034912,2.034802
37.499999,-0.110132,0.434480,0.286209,0.085052,1.042734,0.030725,-0.251967,0.445078,0.290640,-0.126052,-0.959734,0.034275,2.033627
37.999999,-0.112459,0.440834,0.290053,0.064918,1.044358,0.031362,-0.254525,0.448544,0.294486,-0.105918,-0.961358,0.033638,2.032440
38.499999,-0.114814,0.447190,0.293897,0.044762,1.045573,0.031998,-0.257053,0.452007,0.298332,-0.085762,-0.962573,0.033002,2.031242
38.999999,-0.117198,0.453548,0.297742,0.024592,1.046380,0.032635,-0.259551,0.455468,0.302176,-0.065592,-0.963380,0.032365,2.030033
39.499999,-0.119610,0.459906,0.301588,0.004416,1.046779,0.033270,-0.262019,0.458927,0.306019,-0.045416,-0.963779,0.031730,2.028812
39.999999,-0.122051,0.466265,0.305435,-0.015757,1.046769,0.033905,-0.264458,0.462384,0.309862,-0.025243,-0.963769,0.031095,2.027579
40.499999,-0.124521,0.472624,0.309283,-0.035920,1.046352,0.034538,-0.266866,0.465842,0.313703,-0.005080,-0.963352,0.030462,2.026335
40.999999,-0.127020,0.478982,0.313132,-0.056063,1.045526,0.035170,-0.269244,0.469299,0.317543,0.015063,-0.962526,0.029830,2.025079
41.499999,-0.129547,0.485339,0.316981,-0.076179,1.044294,0.035800,-0.271593,0.472758,0.321383,0.035179,-0.961294,0.029200,2.023811
41.999999,-0.132103,0.491694,0.320831,-0.096260,1.042655,0.036428,-0.273911,0.476217,0.325221,0.055260,-0.959655,0.028572,2.022531
42.499999,-0.134687,0.498047,0.324683,-0.116296,1.040611,0.037054,-0.276200,0.479679,0.329059,0.075296,-0.957611,0.027946,2.021240
42.999999,-0.137300,0.504396,0.328535,-0.136280,1.038163,0.037677,-0.278458,0.483143,0.332895,0.095280,-0.955163,0.027323,2.019936
43.499999,-0.139941,0.510742,0.332388,-0.156204,1.035312,0.038297,-0.280687,0.486610,0.336731,0.115204,-0.952312,0.026703,2.018621
43.999999,-0.142611,0.517084,0.336242,-0.176059,1.032059,0.038915,-0.282886,0.490082,0.340565,0.135059,-0.949059,0.026085,2.017293
44.499999,-0.145309,0.523422,0.340096,-0.195837,1.028407,0.039529,-0.285055,0.493557,0.344399,0.154837,-0.945407,0.025471,2.015953
44.999999,-0.148036,0.529754,0.343952,-0.215531,1.024356,0.040139,-0.287195,0.497038,0.348232,0.174531,-0.941356,0.024861,2.014601
45.499999,-0.150790,0.536080,0.347808,-0.235132,1.019909,0.040746,-0.289305,0.500524,0.352063,0.194132,-0.936909,0.024254,2.013237
45.999999,-0.153573,0.542400,0.351665,-0.254632,1.015069,0.041348,-0.291385,0.504017,0.355894,0.213632,-0.932069,0.023652,2.011861
46.499999,-0.156383,0.548713,0.355523,-0.274023,1.009836,0.041947,-0.293436,0.507516,0.359724,0.233023,-0.926836,0.023053,2.010473
46.999999,-0.159222,0.555019,0.359382,-0.293297,1.004214,0.042540,-0.295458,0.511023,0.363553,0.252297,-0.921214,0.022460,2.009072
47.499999,-0.162088,0.561317,0.363242,-0.312447,0.998205,0.043129,-0.297451,0.514538,0.367381,0.271447,-0.915205,0.021871,2.007659
47.999999,-0.164981,0.567606,0.367102,-0.331464,0.991812,0.043713,-0.299415,0.518062,0.371208,0.290464,-0.908812,0.021287,2.006234
48.499999,-0.167902,0.573886,0.370963,-0.350341,0.985039,0.044292,-0.301351,0.521594,0.375034,0.309341,-0.902039,0.020708,2.004796
48.999999,-0.170850,0.580157,0.374825,-0.369070,0.977887,0.044865,-0.303257,0.525137,0.378859,0.328070,-0.894887,0.020135,2.003346
49.499999,-0.173825,0.586418,0.378688,-0.387644,0.970360,0.045432,-0.305136,0.528690,0.382684,0.346644,-0.887360,0.019568,2.001884
49.999999,-0.176827,0.592668,0.382552,-0.406055,0.962462,0.045993,-0.306986,0.532255,0.386507,0.365055,-0.879462,0.019007,2.000410
50.499999,-0.179855,0.598906,0.386416,-0.424295,0.954197,0.046548,-0.308808,0.535831,0.390330,0.383295,-0.871197,0.018452,1.998923
50.999999,-0.182909,0.605133,0.390281,-0.442358,0.945567,0.047097,-0.310603,0.539419,0.394151,0.401358,-0.862567,0.017903,1.997424
51.499999,-0.185990,0.611348,0.394147,-0.460235,0.936576,0.047639,-0.312370,0.543020,0.397972,0.419235,-0.853576,0.017361,1.995913
51.999999,-0.189097,0.617550,0.398014,-0.477920,0.927230,0.048174,-0.314111,0.546634,0.401792,0.436920,-0.844230,0.016826,1.994389
52.499999,-0.192229,0.623739,0.401881,-0.495405,0.917531,0.048702,-0.315824,0.550262,0.405611,0.454405,-0.834531,0.016298,1.992853
52.999999,-0.195387,0.629914,0.405750,-0.512684,0.907485,0.049223,-0.317510,0.553904,0.409429,0.471684,-0.824485,0.015777,1.991305
53.499999,-0.198570,0.636075,0.409618,-0.529749,0.897095,0.049736,-0.319171,0.557562,0.413247,0.488749,-0.814095,0.015264,1.989745
53.999999,-0.201778,0.642221,0.413488,-0.546594,0.886366,0.050242,-0.320805,0.561235,0.417063,0.505594,-0.803366,0.014758,1.988172
54.499999,-0.205010,0.648351,0.417358,-0.563211,0.875303,0.050739,-0.322414,0.564924,0.420879,0.522211,-0.792303,0.014261,1.986588
54.999999,-0.208267,0.654466,0.421229,-0.579595,0.863910,0.051229,-0.323997,0.568630,0.424694,0.538595,-0.780910,0.013771,1.984991
55.499999,-0.211548,0.660565,0.425101,-0.595739,0.852194,0.051710,-0.325555,0.572352,0.428508,0.554739,-0.769194,0.013290,1.983383
55.999999,-0.214852,0.666647,0.428973,-0.611635,0.840158,0.052183,-0.327088,0.576093,0.432322,0.570635,-0.757158,0.012817,1.981762
56.499999,-0.218180,0.672712,0.432846,-0.627279,0.827808,0.052647,-0.328598,0.579851,0.436134,0.586279,-0.744808,0.012353,1.980129
56.999999,-0.221530,0.678760,0.436720,-0.642663,0.815149,0.053102,-0.330083,0.583629,0.439946,0.601663,-0.732149,0.011898,1.978485
